"","df.location","df.parameter","df.value","df.unit","df.country","df.city","date","averagingPeriod"
"3512","Wynnum West","pm25",4.9,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3513","Springwood","pm25",5.6,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3514","Woolloongabba","pm25",9.5,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3515","Southport","pm25",5.4,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3517","Rocklea","pm25",9.4,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3518","Boyne Island","pm25",8.3,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3519","Boat Creek","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3520","Targinie","pm25",7.7,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3521","Wynnum","pm25",0.1,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3522","Cannon Hill","pm25",8.2,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3523","Hopeland","pm25",2.9,"µg/m³","AU","South West Queensland","2019-09-24T12:00:00.000Z",1
"3525","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T12:00:00.000Z",1
"3526","Upper Humbug","pm25",3.6,"µg/m³","AU","South West Queensland","2019-09-24T12:00:00.000Z",1
"3527","North Ward","pm25",6.8,"µg/m³","AU","Townsville","2019-09-24T12:00:00.000Z",1
"3537","South Gladstone","pm25",7.2,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3538","Clinton","pm25",9.4,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3539","Fisherman's Landing","pm25",12.7,"µg/m³","AU","Gladstone","2019-09-24T12:00:00.000Z",1
"3540","Blackwater","pm25",9,"µg/m³","AU","Central Queensland","2019-09-24T12:00:00.000Z",1
"3541","Lytton","pm25",7,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3542","South Brisbane","pm25",8.7,"µg/m³","AU","South East Queensland","2019-09-24T12:00:00.000Z",1
"3544","North Ward","pm25",6.8,"µg/m³","AU","Townsville","2019-09-24T11:00:00.000Z",1
"3545","Upper Humbug","pm25",3.8,"µg/m³","AU","South West Queensland","2019-09-24T11:00:00.000Z",1
"3546","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T11:00:00.000Z",1
"3547","Hopeland","pm25",3,"µg/m³","AU","South West Queensland","2019-09-24T11:00:00.000Z",1
"3548","Cannon Hill","pm25",8.1,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3549","Lytton","pm25",6.9,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3550","Wynnum","pm25",0.7,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3551","Wynnum West","pm25",4.9,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3552","South Brisbane","pm25",8.9,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3553","Springwood","pm25",5.7,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3554","Woolloongabba","pm25",9.7,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3555","Targinie","pm25",7.4,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3556","Boyne Island","pm25",8.1,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3557","South Gladstone","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3558","Boat Creek","pm25",7.7,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3559","Southport","pm25",5.3,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3560","Clinton","pm25",9.1,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3561","Fisherman's Landing","pm25",12.3,"µg/m³","AU","Gladstone","2019-09-24T11:00:00.000Z",1
"3562","Blackwater","pm25",8.6,"µg/m³","AU","Central Queensland","2019-09-24T11:00:00.000Z",1
"3563","Rocklea","pm25",9.5,"µg/m³","AU","South East Queensland","2019-09-24T11:00:00.000Z",1
"3584","North Ward","pm25",6.8,"µg/m³","AU","Townsville","2019-09-24T10:00:00.000Z",1
"3585","Upper Humbug","pm25",3.8,"µg/m³","AU","South West Queensland","2019-09-24T10:00:00.000Z",1
"3587","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T10:00:00.000Z",1
"3588","Hopeland","pm25",3.1,"µg/m³","AU","South West Queensland","2019-09-24T10:00:00.000Z",1
"3589","Cannon Hill","pm25",8,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3590","Lytton","pm25",6.8,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3591","Wynnum","pm25",1.2,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3592","Wynnum West","pm25",4.9,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3593","South Brisbane","pm25",9,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3594","Springwood","pm25",5.7,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3596","Woolloongabba","pm25",9.8,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3597","Southport","pm25",5.4,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3598","Rocklea","pm25",9.7,"µg/m³","AU","South East Queensland","2019-09-24T10:00:00.000Z",1
"3599","Targinie","pm25",7.2,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3600","Boyne Island","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3601","Boat Creek","pm25",7.5,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3602","South Gladstone","pm25",6.9,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3603","Clinton","pm25",8.9,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3604","Fisherman's Landing","pm25",12,"µg/m³","AU","Gladstone","2019-09-24T10:00:00.000Z",1
"3606","Blackwater","pm25",8.7,"µg/m³","AU","Central Queensland","2019-09-24T10:00:00.000Z",1
"3607","Springwood","pm25",5.8,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3620","Blackwater","pm25",8.8,"µg/m³","AU","Central Queensland","2019-09-24T09:00:00.000Z",1
"3621","Fisherman's Landing","pm25",11.7,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3622","Boat Creek","pm25",7.4,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3623","Clinton","pm25",8.6,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3624","South Gladstone","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3625","Boyne Island","pm25",7.6,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3626","Targinie","pm25",7.1,"µg/m³","AU","Gladstone","2019-09-24T09:00:00.000Z",1
"3627","Rocklea","pm25",9.9,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3628","Southport","pm25",5.5,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3629","Woolloongabba","pm25",10,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3630","South Brisbane","pm25",9.2,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3631","Wynnum West","pm25",4.9,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3632","Wynnum","pm25",1.4,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3633","Lytton","pm25",6.5,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3634","Cannon Hill","pm25",8.2,"µg/m³","AU","South East Queensland","2019-09-24T09:00:00.000Z",1
"3635","Hopeland","pm25",3.2,"µg/m³","AU","South West Queensland","2019-09-24T09:00:00.000Z",1
"3636","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T09:00:00.000Z",1
"3637","Upper Humbug","pm25",3.9,"µg/m³","AU","South West Queensland","2019-09-24T09:00:00.000Z",1
"3638","North Ward","pm25",6.8,"µg/m³","AU","Townsville","2019-09-24T09:00:00.000Z",1
"3639","Woolloongabba","pm25",10.2,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3640","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T08:00:00.000Z",1
"3641","Hopeland","pm25",3.3,"µg/m³","AU","South West Queensland","2019-09-24T08:00:00.000Z",1
"3643","Cannon Hill","pm25",8.1,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3644","Wynnum","pm25",2,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3645","Lytton","pm25",6.4,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3646","Wynnum West","pm25",4.8,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3647","South Brisbane","pm25",9.4,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3648","Springwood","pm25",6,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3649","Upper Humbug","pm25",4,"µg/m³","AU","South West Queensland","2019-09-24T08:00:00.000Z",1
"3650","Southport","pm25",5.7,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3651","Rocklea","pm25",10.1,"µg/m³","AU","South East Queensland","2019-09-24T08:00:00.000Z",1
"3652","Targinie","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3663","North Ward","pm25",6.8,"µg/m³","AU","Townsville","2019-09-24T08:00:00.000Z",1
"3664","Blackwater","pm25",8.7,"µg/m³","AU","Central Queensland","2019-09-24T08:00:00.000Z",1
"3665","Fisherman's Landing","pm25",11.5,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3666","Clinton","pm25",8.5,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3667","South Gladstone","pm25",6.4,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3669","Boyne Island","pm25",7.4,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3670","Boat Creek","pm25",7.4,"µg/m³","AU","Gladstone","2019-09-24T08:00:00.000Z",1
"3683","South Gladstone","pm25",5.9,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3684","Blackwater","pm25",8.7,"µg/m³","AU","Central Queensland","2019-09-24T06:00:00.000Z",1
"3686","Fisherman's Landing","pm25",11.2,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3687","Clinton","pm25",8.2,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3688","Boat Creek","pm25",7.1,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3689","Boyne Island","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3690","Targinie","pm25",6.7,"µg/m³","AU","Gladstone","2019-09-24T06:00:00.000Z",1
"3691","Rocklea","pm25",10.6,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3692","Southport","pm25",6.2,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3694","Woolloongabba","pm25",10.6,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3695","Springwood","pm25",6.1,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3696","South Brisbane","pm25",9.7,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3697","Wynnum West","pm25",5.4,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3698","Wynnum","pm25",3.8,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3699","Lytton","pm25",6.7,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3700","Cannon Hill","pm25",8.3,"µg/m³","AU","South East Queensland","2019-09-24T06:00:00.000Z",1
"3702","Hopeland","pm25",3.7,"µg/m³","AU","South West Queensland","2019-09-24T06:00:00.000Z",1
"3703","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T06:00:00.000Z",1
"3704","Upper Humbug","pm25",4.4,"µg/m³","AU","South West Queensland","2019-09-24T06:00:00.000Z",1
"3705","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T06:00:00.000Z",1
"3715","Upper Humbug","pm25",4.6,"µg/m³","AU","South West Queensland","2019-09-24T05:00:00.000Z",1
"3717","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T05:00:00.000Z",1
"3722","Rocklea","pm25",11,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3723","Southport","pm25",6.4,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3724","Springwood","pm25",6.1,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3725","South Brisbane","pm25",9.8,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3730","Wynnum West","pm25",5.6,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3731","Fisherman's Landing","pm25",11.4,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3732","Wynnum","pm25",4.4,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3733","Clinton","pm25",8.1,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3734","South Gladstone","pm25",6,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3735","Boat Creek","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3736","Boyne Island","pm25",6.9,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3737","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T05:00:00.000Z",1
"3738","Lytton","pm25",6.9,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3739","Cannon Hill","pm25",8.6,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3740","Hopeland","pm25",3.8,"µg/m³","AU","South West Queensland","2019-09-24T05:00:00.000Z",1
"3741","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T05:00:00.000Z",1
"3743","Woolloongabba","pm25",10.7,"µg/m³","AU","South East Queensland","2019-09-24T05:00:00.000Z",1
"3744","Blackwater","pm25",8.7,"µg/m³","AU","Central Queensland","2019-09-24T05:00:00.000Z",1
"3747","Lytton","pm25",7.1,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3750","Wynnum","pm25",4.9,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3751","Cannon Hill","pm25",8.7,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3752","Hopeland","pm25",4,"µg/m³","AU","South West Queensland","2019-09-24T04:00:00.000Z",1
"3763","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3764","Blackwater","pm25",8.6,"µg/m³","AU","Central Queensland","2019-09-24T04:00:00.000Z",1
"3765","Fisherman's Landing","pm25",11.4,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3766","Clinton","pm25",8,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3767","South Gladstone","pm25",5.7,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3768","Boat Creek","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3769","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-24T04:00:00.000Z",1
"3770","Rocklea","pm25",11,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3771","Southport","pm25",6.6,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3772","Woolloongabba","pm25",10.9,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3773","Springwood","pm25",6.2,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3774","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3775","Wynnum West","pm25",5.7,"µg/m³","AU","South East Queensland","2019-09-24T04:00:00.000Z",1
"3776","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T04:00:00.000Z",1
"3777","Upper Humbug","pm25",4.8,"µg/m³","AU","South West Queensland","2019-09-24T04:00:00.000Z",1
"3778","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T04:00:00.000Z",1
"3791","Blackwater","pm25",8.6,"µg/m³","AU","Central Queensland","2019-09-24T03:00:00.000Z",1
"3792","Fisherman's Landing","pm25",11.2,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3793","Clinton","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3794","South Gladstone","pm25",5.4,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3795","Boat Creek","pm25",6.9,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3796","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3797","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T03:00:00.000Z",1
"3798","Rocklea","pm25",10.9,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3799","Woolloongabba","pm25",10.9,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3800","Southport","pm25",6.7,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3801","Springwood","pm25",6.2,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3802","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3803","Lytton","pm25",7.5,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3804","Wynnum West","pm25",5.6,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3805","Wynnum","pm25",5.1,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3806","Cannon Hill","pm25",8.8,"µg/m³","AU","South East Queensland","2019-09-24T03:00:00.000Z",1
"3807","Hopeland","pm25",4.3,"µg/m³","AU","South West Queensland","2019-09-24T03:00:00.000Z",1
"3808","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T03:00:00.000Z",1
"3809","Upper Humbug","pm25",5,"µg/m³","AU","South West Queensland","2019-09-24T03:00:00.000Z",1
"3810","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T03:00:00.000Z",1
"3811","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3820","Woolloongabba","pm25",10.8,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3822","Southport","pm25",6.7,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3825","Springwood","pm25",6.2,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3826","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3827","Wynnum West","pm25",5.6,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3829","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T02:00:00.000Z",1
"3830","Upper Humbug","pm25",5.2,"µg/m³","AU","South West Queensland","2019-09-24T02:00:00.000Z",1
"3831","Wynnum","pm25",5.9,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3832","Lytton","pm25",7.6,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3833","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T02:00:00.000Z",1
"3834","Cannon Hill","pm25",8.9,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3835","Hopeland","pm25",4.6,"µg/m³","AU","South West Queensland","2019-09-24T02:00:00.000Z",1
"3836","Blackwater","pm25",8.5,"µg/m³","AU","Central Queensland","2019-09-24T02:00:00.000Z",1
"3837","Fisherman's Landing","pm25",11.1,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3838","Clinton","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3839","South Gladstone","pm25",5.3,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3840","Boat Creek","pm25",6.9,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3841","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-24T02:00:00.000Z",1
"3842","Rocklea","pm25",11,"µg/m³","AU","South East Queensland","2019-09-24T02:00:00.000Z",1
"3843","Fisherman's Landing","pm25",11.2,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3846","Clinton","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3847","Lytton","pm25",7.4,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3848","Cannon Hill","pm25",8.8,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3849","Hopeland","pm25",4.9,"µg/m³","AU","South West Queensland","2019-09-24T01:00:00.000Z",1
"3850","Upper Humbug","pm25",5.6,"µg/m³","AU","South West Queensland","2019-09-24T01:00:00.000Z",1
"3851","South Gladstone","pm25",5.2,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3852","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T01:00:00.000Z",1
"3853","Boat Creek","pm25",7,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3855","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3859","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T01:00:00.000Z",1
"3862","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T01:00:00.000Z",1
"3863","Rocklea","pm25",11.1,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3865","Southport","pm25",6.8,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3866","Woolloongabba","pm25",10.7,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3867","Springwood","pm25",6.1,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3868","Blackwater","pm25",8.5,"µg/m³","AU","Central Queensland","2019-09-24T01:00:00.000Z",1
"3869","South Brisbane","pm25",9.9,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3870","Wynnum West","pm25",5.5,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3872","Wynnum","pm25",5.9,"µg/m³","AU","South East Queensland","2019-09-24T01:00:00.000Z",1
"3874","South Brisbane","pm25",9.7,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3886","Blackwater","pm25",8.4,"µg/m³","AU","Central Queensland","2019-09-24T00:00:00.000Z",1
"3887","Fisherman's Landing","pm25",11.4,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3888","Clinton","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3889","South Gladstone","pm25",4.8,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3890","Boat Creek","pm25",6.9,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3891","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3892","Rocklea","pm25",11,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3893","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-24T00:00:00.000Z",1
"3894","Southport","pm25",6.7,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3895","Woolloongabba","pm25",10.6,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3896","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-24T00:00:00.000Z",1
"3897","Springwood","pm25",6.1,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3898","Wynnum West","pm25",5.4,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3899","Wynnum","pm25",6,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3900","Lytton","pm25",7.2,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3901","Cannon Hill","pm25",8.8,"µg/m³","AU","South East Queensland","2019-09-24T00:00:00.000Z",1
"3902","Hopeland","pm25",5.1,"µg/m³","AU","South West Queensland","2019-09-24T00:00:00.000Z",1
"3903","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-24T00:00:00.000Z",1
"3904","Upper Humbug","pm25",5.9,"µg/m³","AU","South West Queensland","2019-09-24T00:00:00.000Z",1
"3905","South Gladstone","pm25",4.3,"µg/m³","AU","Gladstone","2019-09-23T23:00:00.000Z",1
"3906","Clinton","pm25",7.9,"µg/m³","AU","Gladstone","2019-09-23T23:00:00.000Z",1
"3907","Fisherman's Landing","pm25",11.6,"µg/m³","AU","Gladstone","2019-09-23T23:00:00.000Z",1
"3908","Blackwater","pm25",8.4,"µg/m³","AU","Central Queensland","2019-09-23T23:00:00.000Z",1
"3909","Wynnum West","pm25",5.3,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3910","Wynnum","pm25",6,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3911","Lytton","pm25",7,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3912","Southport","pm25",6.6,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3915","Rocklea","pm25",10.8,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3916","Woolloongabba","pm25",10.5,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3917","Cannon Hill","pm25",8.8,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3918","Hopeland","pm25",5.2,"µg/m³","AU","South West Queensland","2019-09-23T23:00:00.000Z",1
"3919","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-23T23:00:00.000Z",1
"3920","Springwood","pm25",6.1,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3922","Upper Humbug","pm25",6.1,"µg/m³","AU","South West Queensland","2019-09-23T23:00:00.000Z",1
"3924","South Brisbane","pm25",9.7,"µg/m³","AU","South East Queensland","2019-09-23T23:00:00.000Z",1
"3925","North Ward","pm25",6.7,"µg/m³","AU","Townsville","2019-09-23T23:00:00.000Z",1
"3927","Targinie","pm25",6.6,"µg/m³","AU","Gladstone","2019-09-23T23:00:00.000Z",1
"3930","Boyne Island","pm25",6.8,"µg/m³","AU","Gladstone","2019-09-23T23:00:00.000Z",1
